state,transaction_year,quater,transaction_places,transaction_count,transaction_amount
madhya-pradesh,2020,4,sidhi district,1056459,2364979330
madhya-pradesh,2020,4,datia district,610567,1444388557
madhya-pradesh,2020,4,dewas district,3659099,6453013619
madhya-pradesh,2020,4,sheopur district,426813,952730306
madhya-pradesh,2020,4,neemuch district,1138127,2294476553
madhya-pradesh,2020,4,raisen district,2354383,3795545559
madhya-pradesh,2020,4,mandsaur district,1702849,3599293908
madhya-pradesh,2020,4,barwani district,942429,1900039062
madhya-pradesh,2020,4,katni district,1313363,2477741226
madhya-pradesh,2020,4,dindori district,507945,1044878188
madhya-pradesh,2020,4,shivpuri district,1338636,3314285091
madhya-pradesh,2020,4,gwalior district,6115831,12129267094
madhya-pradesh,2020,4,anuppur district,968828,1811583633
madhya-pradesh,2020,4,agar malwa district,687422,1634982482
madhya-pradesh,2020,4,ashoknagar district,668278,1488084429
madhya-pradesh,2020,4,sagar district,2882971,5341735254
madhya-pradesh,2020,4,niwari district,263987,587169247
madhya-pradesh,2020,4,rewa district,3045335,6440539078
madhya-pradesh,2020,4,shajapur district,1557727,3122785610
madhya-pradesh,2020,4,ujjain district,4280284,7849328204
madhya-pradesh,2020,4,bhind district,1375781,3148511019
madhya-pradesh,2020,4,tikamgarh district,689996,1420798584
madhya-pradesh,2020,4,seoni district,1518741,3105941827
madhya-pradesh,2020,4,harda district,745011,1358337158
madhya-pradesh,2020,4,burhanpur district,835693,1468116825
madhya-pradesh,2020,4,damoh district,795381,1648755982
madhya-pradesh,2020,4,bhopal district,38492334,67905952477
madhya-pradesh,2020,4,jhabua district,526191,1047606013
madhya-pradesh,2020,4,dhar district,3833814,6450900581
madhya-pradesh,2020,4,guna district,1650908,3557970760
madhya-pradesh,2020,4,east nimar district,1569591,2763633316
madhya-pradesh,2020,4,chhindwara district,3170211,5890642613
madhya-pradesh,2020,4,umaria district,610841,1162284635
madhya-pradesh,2020,4,mandla district,834886,1577936333
madhya-pradesh,2020,4,indore district,25715586,42359214660
madhya-pradesh,2020,4,shahdol district,1463780,2800510419
madhya-pradesh,2020,4,ratlam district,2168894,4568608001
madhya-pradesh,2020,4,panna district,643236,1391244910
madhya-pradesh,2020,4,chhatarpur district,1286133,2810603686
madhya-pradesh,2020,1,morena district,677107,1487773913
madhya-pradesh,2020,1,alirajpur district,80878,139222795
madhya-pradesh,2020,1,sehore district,1747508,2672516076
madhya-pradesh,2020,1,rajgarh district,1003150,1931180320
madhya-pradesh,2020,1,khargone district,881158,1574505862
madhya-pradesh,2020,1,satna district,1054696,1784631427
madhya-pradesh,2020,1,narsinghpur district,688918,1184472226
madhya-pradesh,2020,1,jabalpur district,3486010,5963024021
madhya-pradesh,2020,1,hoshangabad district,828769,1373162855
madhya-pradesh,2020,1,vidisha district,924103,1432345729
madhya-pradesh,2020,1,balaghat district,906061,1537219792
madhya-pradesh,2020,1,singrauli district,1021478,1813855141
madhya-pradesh,2020,1,betul district,945162,1505930532
madhya-pradesh,2020,1,sidhi district,446051,920320721
madhya-pradesh,2020,1,datia district,268264,526142245
madhya-pradesh,2020,1,dewas district,1550696,2464387871
madhya-pradesh,2020,1,sheopur district,184458,352706798
madhya-pradesh,2020,1,neemuch district,531047,886080840
madhya-pradesh,2020,1,raisen district,1032990,1549085424
madhya-pradesh,2020,1,mandsaur district,807793,1375833119
madhya-pradesh,2020,1,barwani district,325006,604870938
madhya-pradesh,2020,1,katni district,556365,943799882
madhya-pradesh,2020,1,dindori district,214866,396788718
madhya-pradesh,2020,1,shivpuri district,550319,1103063094
madhya-pradesh,2020,1,gwalior district,2793829,4742983278
madhya-pradesh,2020,1,anuppur district,418000,724569321
madhya-pradesh,2020,1,agar malwa district,311735,625620488
madhya-pradesh,2020,1,ashoknagar district,277647,528607935
madhya-pradesh,2020,1,sagar district,1331074,2082416999
madhya-pradesh,2020,1,niwari district,121988,217310730
madhya-pradesh,2020,1,rewa district,1358528,2622020903
madhya-pradesh,2020,1,shajapur district,669470,1213374763
madhya-pradesh,2020,1,ujjain district,1956388,2984071094
madhya-pradesh,2020,1,bhind district,576145,1134766386
madhya-pradesh,2020,1,tikamgarh district,303500,526334043
madhya-pradesh,2020,1,seoni district,673872,1242759290
madhya-pradesh,2020,1,harda district,286337,488993407
madhya-pradesh,2020,1,burhanpur district,290428,470435916
madhya-pradesh,2020,1,damoh district,356009,643762443
madhya-pradesh,2020,1,bhopal district,18872294,26955303213
madhya-pradesh,2020,1,jhabua district,185141,335602062
madhya-pradesh,2020,1,dhar district,1500274,2336164021
madhya-pradesh,2020,1,guna district,712143,1318350475
madhya-pradesh,2020,1,east nimar district,631279,985252866
madhya-pradesh,2020,1,chhindwara district,1550995,2660677487
madhya-pradesh,2020,1,umaria district,253659,456166379
madhya-pradesh,2020,1,mandla district,346631,557993549
madhya-pradesh,2020,1,indore district,20249473,30491290764
madhya-pradesh,2020,1,shahdol district,761513,1534787163
madhya-pradesh,2020,1,ratlam district,1004214,1772832178
madhya-pradesh,2020,1,panna district,272659,502772844
madhya-pradesh,2020,1,chhatarpur district,588668,1059141076
madhya-pradesh,2020,2,morena district,979863,2004598751
madhya-pradesh,2020,2,alirajpur district,155614,263806138
madhya-pradesh,2020,2,sehore district,2007098,3502556848
madhya-pradesh,2020,2,rajgarh district,1370563,3068680022
madhya-pradesh,2020,2,khargone district,1304018,2348687630
madhya-pradesh,2020,2,satna district,1279303,2299659062
